path_id,od_id,local_path_id,path_type,origin_customer_id,destination_customer_id,origin_node,destination_node,node_path,arc_path,path_length_km,free_flow_time_h,congested_arc_count,is_ev
16,5,1,detour_2,Customer_1,Customer_38,1,14,"[1, 9, 26, 14]","[16, 108, 165]",5.7886991704098705,0.12294915832327845,0,0
17,5,2,detour_3,Customer_1,Customer_38,1,14,"[1, 47, 14]","[14, 163]",6.74435282557104,0.13802851336521307,0,0
18,6,0,shortest,Customer_1,Customer_34,1,66,"[1, 66]",[22],5.020127413028402,0.09127504387324367,0,0
19,6,1,detour_2,Customer_1,Customer_34,1,66,"[1, 61, 66]","[10, 446]",5.8385656454318235,0.12110953523756748,0,0
20,6,2,detour_3,Customer_1,Customer_34,1,66,"[1, 61, 57, 66]","[10, 429, 430]",8.699337777737625,0.17018540045383757,0,0
21,7,0,shortest,Customer_1,Customer_73,1,66,"[1, 66]",[22],5.020127413028402,0.09127504387324367,0,0
22,7,1,detour_2,Customer_1,Customer_73,1,66,"[1, 61, 66]","[10, 446]",5.8385656454318235,0.12110953523756748,0,0
23,7,2,detour_3,Customer_1,Customer_73,1,66,"[1, 61, 57, 66]","[10, 429, 430]",8.699337777737625,0.17018540045383757,0,0
24,8,0,shortest,Customer_1,Customer_9,1,34,"[1, 26, 34]","[12, 266]",5.382150452248977,0.0978572809499814,0,0
25,8,1,detour_2,Customer_1,Customer_9,1,34,"[1, 47, 34]","[14, 329]",5.357054358089298,0.10334605167816951,1,0
26,8,2,detour_3,Customer_1,Customer_9,1,34,"[1, 9, 34]","[16, 110]",5.329781644785633,0.10672770546691276,0,0
27,9,0,shortest,Customer_1,Customer_18,1,57,"[1, 61, 57]","[10, 429]",6.937046451808445,0.12612811730560808,0,0
28,9,1,detour_2,Customer_1,Customer_18,1,57,"[1, 61, 16, 57]","[10, 189, 184]",7.198418033856887,0.1325567727901422,0,0
29,9,2,detour_3,Customer_1,Customer_18,1,57,"[1, 66, 57]","[22, 431]",6.782418738957581,0.13533232702147316,0,0
30,10,0,shortest,Customer_1,Customer_28,1,16,"[1, 61, 16]","[10, 189]",6.952539448254399,0.12640980815008,0,0
31,10,1,detour_2,Customer_1,Customer_28,1,16,"[1, 61, 57, 16]","[10, 429, 185]",7.182925037410934,0.13227508194567028,0,0
32,10,2,detour_3,Customer_1,Customer_28,1,16,"[1, 66, 16]","[22, 187]",6.948393201649735,0.139481688588777,0,0
33,11,0,shortest,Customer_1,Customer_66,1,16,"[1, 61, 16]","[10, 189]",6.952539448254399,0.12640980815008,0,0
34,11,1,detour_2,Customer_1,Customer_66,1,16,"[1, 61, 57, 16]","[10, 429, 185]",7.182925037410934,0.13227508194567028,0,0
35,11,2,detour_3,Customer_1,Customer_66,1,16,"[1, 66, 16]","[22, 187]",6.948393201649735,0.139481688588777,0,0
36,12,0,shortest,Customer_1,Customer_32,1,46,"[1, 26, 14, 46]","[12, 165, 170]",9.126837354063998,0.16594249734661815,0,0
37,12,1,detour_2,Customer_1,Customer_32,1,46,"[1, 9, 26, 14, 46]","[16, 108, 165, 170]",9.127834998010993,0.18366071882511703,0,0
38,12,2,detour_3,Customer_1,Customer_32,1,46,"[1, 47, 14, 46]","[14, 163, 170]",10.08348865317216,0.19874007386705164,0,0
39,13,0,shortest,Customer_1,Customer_49,1,46,"[1, 26, 14, 46]","[12, 165, 170]",9.126837354063998,0.16594249734661815,0,0
40,13,1,detour_2,Customer_1,Customer_49,1,46,"[1, 9, 26, 14, 46]","[16, 108, 165, 170]",9.127834998010993,0.18366071882511703,0,0
41,13,2,detour_3,Customer_1,Customer_49,1,46,"[1, 47, 14, 46]","[14, 163, 170]",10.08348865317216,0.19874007386705164,0,0
42,14,0,shortest,Customer_1,Customer_27,1,33,"[1, 26, 14, 33]","[12, 165, 172]",10.457497171164967,0.19013631220299937,0,0
43,14,1,detour_2,Customer_1,Customer_27,1,33,"[1, 26, 14, 46, 33]","[12, 165, 170, 325]",10.643797496316184,0.2038665009029228,0,0
44,14,2,detour_3,Customer_1,Customer_27,1,33,"[1, 9, 26, 14, 33]","[16, 108, 165, 172]",10.45849481511196,0.20785453368149825,0,0
45,15,0,shortest,Customer_1,Customer_79,1,33,"[1, 26, 14, 33]","[12, 165, 172]",10.457497171164967,0.19013631220299937,0,0
46,15,1,detour_2,Customer_1,Customer_79,1,33,"[1, 26, 14, 46, 33]","[12, 165, 170, 325]",10.643797496316184,0.2038665009029228,0,0
47,15,2,detour_3,Customer_1,Customer_79,1,33,"[1, 9, 26, 14, 33]","[16, 108, 165, 172]",10.45849481511196,0.20785453368149825,0,0
48,16,0,shortest,Customer_1,Customer_33,1,4,"[1, 26, 14, 46, 50, 55, 4]","[12, 165, 170, 384, 394, 47]",18.375306092832194,0.3340964744151308,2,0
49,16,1,detour_2,Customer_1,Customer_33,1,4,"[1, 9, 26, 14, 46, 50, 55, 4]","[16, 108, 165, 170, 384, 394, 47]",18.37630373677919,0.3518146958936297,2,0
50,16,2,detour_3,Customer_1,Customer_33,1,4,"[1, 26, 14, 46, 50, 55, 17, 4]","[12, 165, 170, 384, 394, 199, 51]",18.483858925086555,0.3563251321488971,3,0
51,17,0,shortest,Customer_1,Customer_14,1,17,"[1, 26, 14, 46, 50, 55, 17]","[12, 165, 170, 384, 394, 199]",18.01063630160493,0.3444945665618565,2,0
52,17,1,detour_2,Customer_1,Customer_14,1,17,"[1, 26, 14, 46, 50, 55, 4, 17]","[12, 165, 170, 384, 394, 47, 50]",18.84852871631382,0.3459270400021714,3,0
53,17,2,detour_3,Customer_1,Customer_14,1,17,"[1, 26, 14, 46, 50, 74, 17]","[12, 165, 170, 384, 396, 205]",19.749117110638323,0.3590748565570604,2,0
54,18,0,shortest,Customer_1,Customer_29,1,17,"[1, 26, 14, 46, 50, 55, 17]","[12, 165, 170, 384, 394, 199]",18.01063630160493,0.3444945665618565,2,0
55,18,1,detour_2,Customer_1,Customer_29,1,17,"[1, 26, 14, 46, 50, 55, 4, 17]","[12, 165, 170, 384, 394, 47, 50]",18.84852871631382,0.3459270400021714,3,0
56,18,2,detour_3,Customer_1,Customer_29,1,17,"[1, 26, 14, 46, 50, 74, 17]","[12, 165, 170, 384, 396, 205]",19.749117110638323,0.3590748565570604,2,0
57,19,0,shortest,Customer_1,Customer_31,1,17,"[1, 26, 14, 46, 50, 55, 17]","[12, 165, 170, 384, 394, 199]",18.01063630160493,0.3444945665618565,2,0
58,19,1,detour_2,Customer_1,Customer_31,1,17,"[1, 26, 14, 46, 50, 55, 4, 17]","[12, 165, 170, 384, 394, 47, 50]",18.84852871631382,0.3459270400021714,3,0
59,19,2,detour_3,Customer_1,Customer_31,1,17,"[1, 26, 14, 46, 50, 74, 17]","[12, 165, 170, 384, 396, 205]",19.749117110638323,0.3590748565570604,2,0
60,20,0,shortest,Customer_2,Customer_3,55,74,"[55, 74]",[414],1.451114450093509,0.03627786125233772,1,0
61,20,1,detour_2,Customer_2,Customer_3,55,74,"[55, 72, 74]","[416, 460]",3.5225288256697826,0.08806322064174457,2,0
62,20,2,detour_3,Customer_2,Customer_3,55,74,"[55, 59, 74]","[418, 438]",4.764054820497257,0.09822410754200905,2,0
63,21,0,shortest,Customer_2,Customer_42,55,74,"[55, 74]",[414],1.451114450093509,0.03627786125233772,1,0
64,21,1,detour_2,Customer_2,Customer_42,55,74,"[55, 72, 74]","[416, 460]",3.5225288256697826,0.08806322064174457,2,0
65,21,2,detour_3,Customer_2,Customer_42,55,74,"[55, 59, 74]","[418, 438]",4.764054820497257,0.09822410754200905,2,0
66,22,0,shortest,Customer_2,Customer_47,55,74,"[55, 74]",[414],1.451114450093509,0.03627786125233772,1,0
67,22,1,detour_2,Customer_2,Customer_47,55,74,"[55, 72, 74]","[416, 460]",3.5225288256697826,0.08806322064174457,2,0
68,22,2,detour_3,Customer_2,Customer_47,55,74,"[55, 59, 74]","[418, 438]",4.764054820497257,0.09822410754200905,2,0
69,23,0,shortest,Customer_2,Customer_15,55,72,"[55, 72]",[416],2.302435720372663,0.05756089300931657,1,0
70,23,1,detour_2,Customer_2,Customer_15,55,72,"[55, 74, 72]","[414, 461]",2.671207555390629,0.06678018888476572,2,0
71,23,2,detour_3,Customer_2,Customer_15,55,72,"[55, 8, 72]","[103, 94]",3.9997213810998273,0.08114734850370445,2,0
72,24,0,shortest,Customer_2,Customer_14,55,17,"[55, 17]",[199],2.497506291459137,0.06243765728647842,1,0
73,24,1,detour_2,Customer_2,Customer_14,55,17,"[55, 4, 17]","[47, 50]",3.335398706168023,0.0638701307267933,2,0
74,24,2,detour_3,Customer_2,Customer_14,55,17,"[55, 74, 17]","[414, 205]",4.329018994688021,0.08860339842678341,2,0
75,25,0,shortest,Customer_2,Customer_29,55,17,"[55, 17]",[199],2.497506291459137,0.06243765728647842,1,0
76,25,1,detour_2,Customer_2,Customer_29,55,17,"[55, 4, 17]","[47, 50]",3.335398706168023,0.0638701307267933,2,0
77,25,2,detour_3,Customer_2,Customer_29,55,17,"[55, 74, 17]","[414, 205]",4.329018994688021,0.08860339842678341,2,0
78,26,0,shortest,Customer_2,Customer_31,55,17,"[55, 17]",[199],2.497506291459137,0.06243765728647842,1,0
79,26,1,detour_2,Customer_2,Customer_31,55,17,"[55, 4, 17]","[47, 50]",3.335398706168023,0.0638701307267933,2,0
80,26,2,detour_3,Customer_2,Customer_31,55,17,"[55, 74, 17]","[414, 205]",4.329018994688021,0.08860339842678341,2,0
81,27,0,shortest,Customer_2,Customer_35,55,8,"[55, 8]",[103],2.764033950156048,0.050255162730109965,1,0
82,27,1,detour_2,Customer_2,Customer_35,55,8,"[55, 72, 8]","[416, 95]",3.538123151316442,0.08845307878291106,2,0
83,27,2,detour_3,Customer_2,Customer_35,55,8,"[55, 74, 8]","[414, 107]",3.6921408564613074,0.0923035214115327,2,0
84,28,0,shortest,Customer_2,Customer_41,55,8,"[55, 8]",[103],2.764033950156048,0.050255162730109965,1,0
85,28,1,detour_2,Customer_2,Customer_41,55,8,"[55, 72, 8]","[416, 95]",3.538123151316442,0.08845307878291106,2,0
86,28,2,detour_3,Customer_2,Customer_41,55,8,"[55, 74, 8]","[414, 107]",3.6921408564613074,0.0923035214115327,2,0
87,29,0,shortest,Customer_2,Customer_46,55,8,"[55, 8]",[103],2.764033950156048,0.050255162730109965,1,0
88,29,1,detour_2,Customer_2,Customer_46,55,8,"[55, 72, 8]","[416, 95]",3.538123151316442,0.08845307878291106,2,0
89,29,2,detour_3,Customer_2,Customer_46,55,8,"[55, 74, 8]","[414, 107]",3.6921408564613074,0.0923035214115327,2,0
90,30,0,shortest,Customer_2,Customer_33,55,4,"[55, 4]",[47],2.862176082686399,0.052039565139752705,1,0
91,30,1,detour_2,Customer_2,Customer_33,55,4,"[55, 17, 4]","[199, 51]",2.9707289149407607,0.07426822287351902,2,0
92,30,2,detour_3,Customer_2,Customer_33,55,4,"[55, 74, 17, 4]","[414, 205, 51]",4.802241618169645,0.10043396401382401,3,0
93,31,0,shortest,Customer_2,Customer_26,55,31,"[55, 8, 31]","[103, 92]",4.335834247056647,0.08955017015262495,2,0
94,31,1,detour_2,Customer_2,Customer_26,55,31,"[55, 74, 31]","[414, 309]",4.736819527772882,0.09601795357378087,2,0
95,31,2,detour_3,Customer_2,Customer_26,55,31,"[55, 8, 18, 31]","[103, 98, 206]",4.669013441190318,0.09787965000596671,3,0
96,32,0,shortest,Customer_2,Customer_67,55,31,"[55, 8, 31]","[103, 92]",4.335834247056647,0.08955017015262495,2,0
97,32,1,detour_2,Customer_2,Customer_67,55,31,"[55, 74, 31]","[414, 309]",4.736819527772882,0.09601795357378087,2,0
98,32,2,detour_3,Customer_2,Customer_67,55,31,"[55, 8, 18, 31]","[103, 98, 206]",4.669013441190318,0.09787965000596671,3,0
99,33,0,shortest,Customer_2,Customer_71,55,32,"[55, 32]",[317],4.230926554314506,0.07692593735117283,1,0
100,33,1,detour_2,Customer_2,Customer_71,55,32,"[55, 50, 32]","[395, 319]",5.661614676967069,0.10293844867212854,2,0
101,33,2,detour_3,Customer_2,Customer_71,55,32,"[55, 50, 10, 32]","[395, 121, 118]",8.273150195138037,0.15042091263887336,1,0
102,34,0,shortest,Customer_2,Customer_51,55,10,"[55, 50, 10]","[395, 121]",5.662465262757676,0.10295391386832137,1,0
103,34,1,detour_2,Customer_2,Customer_51,55,10,"[55, 32, 10]","[317, 119]",6.841611486694866,0.12439293612172483,1,0
104,34,2,detour_3,Customer_2,Customer_51,55,10,"[55, 50, 32, 10]","[395, 319, 119]",8.27229960934743,0.15040544744268053,2,0
105,35,0,shortest,Customer_2,Customer_9,55,34,"[55, 50, 46, 14, 34]","[395, 385, 171, 168]",11.767970629037487,0.2278895260644627,1,0
106,35,1,detour_2,Customer_2,Customer_9,55,34,"[55, 50, 46, 14, 47, 34]","[395, 385, 171, 162, 329]",12.856612200284793,0.2551055653456454,2,0
107,35,2,detour_3,Customer_2,Customer_9,55,34,"[55, 50, 10, 46, 14, 34]","[395, 121, 124, 171, 168]",14.017928765718965,0.2687978558223078,1,0
108,36,0,shortest,Customer_2,Customer_77,55,28,"[55, 59, 28]","[418, 283]",6.385527030194028,0.11610049145807325,2,0
109,36,1,avoid_congestion,Customer_2,Customer_77,55,28,"[55, 59, 27, 28]","[418, 271, 272]",10.838034694948188,0.19705517627178526,1,0
110,36,2,detour_2,Customer_2,Customer_77,55,28,"[55, 74, 28]","[414, 285]",6.171102610429447,0.12209582780390024,2,0
111,36,3,detour_3,Customer_2,Customer_77,55,28,"[55, 74, 59, 28]","[414, 439, 283]",6.476699162794231,0.13925705774350072,3,0
112,37,0,shortest,Customer_2,Customer_54,55,69,"[55, 59, 69]","[418, 442]",6.73115291253637,0.12238459840975216,2,0
113,37,1,avoid_congestion,Customer_2,Customer_54,55,69,"[55, 59, 27, 69]","[418, 271, 274]",12.145651375614676,0.22083002501117593,1,0
114,37,2,detour_2,Customer_2,Customer_54,55,69,"[55, 72, 69]","[416, 459]",6.331149230464931,0.13081022955644872,2,0
115,37,3,detour_3,Customer_2,Customer_54,55,69,"[55, 74, 72, 69]","[414, 461, 459]",6.699921065482897,0.14002952543189787,3,0
116,38,0,shortest,Customer_2,Customer_32,55,46,"[55, 50, 46]","[395, 385]",6.386292656081796,0.11611441192875993,1,0
117,38,1,detour_2,Customer_2,Customer_32,55,46,"[55, 50, 10, 46]","[395, 121, 124]",8.636250792763276,0.15702274168660502,1,0
118,38,2,detour_3,Customer_2,Customer_32,55,46,"[55, 74, 50, 46]","[414, 397, 385]",9.195489662073323,0.17708468328833435,2,0
119,39,0,shortest,Customer_2,Customer_49,55,46,"[55, 50, 46]","[395, 385]",6.386292656081796,0.11611441192875993,1,0
120,39,1,detour_2,Customer_2,Customer_49,55,46,"[55, 50, 10, 46]","[395, 121, 124]",8.636250792763276,0.15702274168660502,1,0
121,39,2,detour_3,Customer_2,Customer_49,55,46,"[55, 74, 50, 46]","[414, 397, 385]",9.195489662073323,0.17708468328833435,2,0
122,40,0,same_node,Customer_3,Customer_42,74,74,[74],[],0.0,0.0,0,0
123,41,0,same_node,Customer_3,Customer_47,74,74,[74],[],0.0,0.0,0,0
124,42,0,shortest,Customer_3,Customer_15,74,72,"[74, 72]",[461],1.22009310529712,0.030502327632428,1,0
125,42,1,detour_2,Customer_3,Customer_15,74,72,"[74, 8, 72]","[107, 94]",3.476713837311578,0.08691784593278945,2,0
126,42,2,detour_3,Customer_3,Customer_15,74,72,"[74, 55, 72]","[415, 416]",3.7535501704661716,0.09383875426165429,2,0
127,43,0,shortest,Customer_3,Customer_2,74,55,"[74, 55]",[415],1.451114450093509,0.03627786125233772,1,0
128,43,1,detour_2,Customer_3,Customer_2,74,55,"[74, 72, 55]","[461, 417]",3.5225288256697826,0.08806322064174457,2,0
129,43,2,detour_3,Customer_3,Customer_2,74,55,"[74, 59, 55]","[439, 419]",4.764054820497257,0.09822410754200905,2,0
130,44,0,shortest,Customer_3,Customer_35,74,8,"[74, 8]",[107],2.2410264063677987,0.05602566015919497,1,0
131,44,1,detour_2,Customer_3,Customer_35,74,8,"[74, 72, 8]","[461, 95]",2.4557805362408995,0.061394513406022484,2,0
132,44,2,detour_3,Customer_3,Customer_35,74,8,"[74, 55, 8]","[415, 103]",4.215148400249557,0.0865330239824477,2,0
133,45,0,shortest,Customer_3,Customer_41,74,8,"[74, 8]",[107],2.2410264063677987,0.05602566015919497,1,0
134,45,1,detour_2,Customer_3,Customer_41,74,8,"[74, 72, 8]","[461, 95]",2.4557805362408995,0.061394513406022484,2,0
135,45,2,detour_3,Customer_3,Customer_41,74,8,"[74, 55, 8]","[415, 103]",4.215148400249557,0.0865330239824477,2,0
136,46,0,shortest,Customer_3,Customer_46,74,8,"[74, 8]",[107],2.2410264063677987,0.05602566015919497,1,0
137,46,1,detour_2,Customer_3,Customer_46,74,8,"[74, 72, 8]","[461, 95]",2.4557805362408995,0.061394513406022484,2,0
138,46,2,detour_3,Customer_3,Customer_46,74,8,"[74, 55, 8]","[415, 103]",4.215148400249557,0.0865330239824477,2,0
139,47,0,shortest,Customer_3,Customer_14,74,17,"[74, 17]",[205],2.8779045445945126,0.052325537174445685,1,0
140,47,1,detour_2,Customer_3,Customer_14,74,17,"[74, 72, 17]","[461, 197]",3.6926769919834124,0.09231692479958531,2,0
141,47,2,detour_3,Customer_3,Customer_14,74,17,"[74, 72, 4, 17]","[461, 49, 50]",4.630053179698124,0.09572811959982097,3,0
142,48,0,shortest,Customer_3,Customer_29,74,17,"[74, 17]",[205],2.8779045445945126,0.052325537174445685,1,0
143,48,1,detour_2,Customer_3,Customer_29,74,17,"[74, 72, 17]","[461, 197]",3.6926769919834124,0.09231692479958531,2,0
144,48,2,detour_3,Customer_3,Customer_29,74,17,"[74, 72, 4, 17]","[461, 49, 50]",4.630053179698124,0.09572811959982097,3,0
145,49,0,shortest,Customer_3,Customer_31,74,17,"[74, 17]",[205],2.8779045445945126,0.052325537174445685,1,0
146,49,1,detour_2,Customer_3,Customer_31,74,17,"[74, 72, 17]","[461, 197]",3.6926769919834124,0.09231692479958531,2,0
147,49,2,detour_3,Customer_3,Customer_31,74,17,"[74, 72, 4, 17]","[461, 49, 50]",4.630053179698124,0.09572811959982097,3,0
148,50,0,shortest,Customer_3,Customer_26,74,31,"[74, 31]",[309],3.2857050776793733,0.05974009232144315,1,0
149,50,1,detour_2,Customer_3,Customer_26,74,31,"[74, 72, 31]","[461, 307]",3.2858464216437584,0.08214616054109397,2,0
150,50,2,detour_3,Customer_3,Customer_26,74,31,"[74, 72, 18, 31]","[461, 209, 206]",3.6560584763889286,0.09140146190972322,3,0
151,51,0,shortest,Customer_3,Customer_67,74,31,"[74, 31]",[309],3.2857050776793733,0.05974009232144315,1,0
152,51,1,detour_2,Customer_3,Customer_67,74,31,"[74, 72, 31]","[461, 307]",3.2858464216437584,0.08214616054109397,2,0
153,51,2,detour_3,Customer_3,Customer_67,74,31,"[74, 72, 18, 31]","[461, 209, 206]",3.6560584763889286,0.09140146190972322,3,0
154,52,0,shortest,Customer_3,Customer_33,74,4,"[74, 17, 4]","[205, 51]",3.3511271680761365,0.06415610276148628,2,0
155,52,1,detour_2,Customer_3,Customer_33,74,4,"[74, 72, 4]","[461, 49]",4.156830556216501,0.08389755401278037,2,0
156,52,2,detour_3,Customer_3,Customer_33,74,4,"[74, 55, 4]","[415, 47]",4.313290532779908,0.08831742639209042,2,0
157,53,0,shortest,Customer_3,Customer_77,74,28,"[74, 28]",[285],4.719988160335938,0.08581796655156251,1,0
158,53,1,detour_2,Customer_3,Customer_77,74,28,"[74, 59, 28]","[439, 283]",5.025584712700724,0.10297919649116298,2,0
159,53,2,detour_3,Customer_3,Customer_77,74,28,"[74, 72, 28]","[461, 287]",6.6102919471627555,0.1285059429390759,2,0
160,54,0,shortest,Customer_3,Customer_54,74,69,"[74, 72, 69]","[461, 459]",5.2488066153893875,0.10375166417956014,2,0
161,54,1,avoid_congestion,Customer_3,Customer_54,74,69,"[74, 59, 27, 69]","[439, 271, 274]",10.78570905812137,0.20770873004426565,1,0
162,54,2,detour_2,Customer_3,Customer_54,74,69,"[74, 59, 69]","[439, 442]",5.371210595043063,0.1092633034428419,2,0
163,54,3,detour_3,Customer_3,Customer_54,74,69,"[74, 31, 69]","[309, 310]",6.7329328399446045,0.12241696072626554,2,0
164,55,0,shortest,Customer_3,Customer_71,74,32,"[74, 55, 32]","[415, 317]",5.682041004408014,0.11320379860351054,2,0
165,55,1,avoid_congestion,Customer_3,Customer_71,74,32,"[74, 50, 10, 32]","[397, 121, 118]",9.631232751036054,0.17511332274611008,1,0
166,55,2,detour_2,Customer_3,Customer_71,74,32,"[74, 50, 32]","[397, 319]",7.019697232865088,0.12763085877936525,2,0
167,55,3,detour_3,Customer_3,Customer_71,74,32,"[74, 55, 50, 32]","[415, 395, 319]",7.112729127060579,0.13921630992446626,3,0
168,56,0,shortest,Customer_3,Customer_48,74,27,"[74, 27]",[279],6.403611617492714,0.11642930213623115,1,0
169,56,1,avoid_congestion,Customer_3,Customer_48,74,27,"[74, 59, 27]","[439, 271]",6.404283147233186,0.12804644075538957,1,0
170,56,2,detour_3,Customer_3,Customer_48,74,27,"[74, 28, 27]","[285, 273]",7.793797390557636,0.1417054071010479,1,0
171,57,0,shortest,Customer_3,Customer_51,74,10,"[74, 50, 10]","[397, 121]",7.020547818655694,0.12764632397555808,1,0
172,57,1,detour_2,Customer_3,Customer_51,74,10,"[74, 55, 50, 10]","[415, 395, 121]",7.113579712851185,0.1392317751206591,2,0
173,57,2,detour_3,Customer_3,Customer_51,74,10,"[74, 55, 32, 10]","[415, 317, 119]",8.292725936788374,0.16067079737406254,2,0
174,58,0,shortest,Customer_3,Customer_9,74,34,"[74, 50, 46, 14, 34]","[397, 385, 171, 168]",13.126053184935504,0.2525819361716994,1,0
175,58,1,detour_2,Customer_3,Customer_9,74,34,"[74, 55, 50, 46, 14, 34]","[415, 395, 385, 171, 168]",13.219085079130995,0.26416738731680045,2,0
176,58,2,detour_3,Customer_3,Customer_9,74,34,"[74, 50, 46, 14, 47, 34]","[397, 385, 171, 162, 329]",14.21469475618281,0.2797979754528821,2,0
177,59,0,shortest,Customer_3,Customer_55,74,48,"[74, 17, 4, 48]","[205, 51, 52]",7.641759525537303,0.14216760016987112,3,0
178,59,1,detour_2,Customer_3,Customer_55,74,48,"[74, 31, 18, 48]","[309, 207, 212]",7.972892462334084,0.14622422849374708,3,0
179,59,2,detour_3,Customer_3,Customer_55,74,48,"[74, 72, 4, 48]","[461, 49, 52]",8.447462913677668,0.16190905142116524,3,0
180,60,0,same_node,Customer_4,Customer_45,56,56,[56],[],0.0,0.0,0,0
181,61,0,shortest,Customer_4,Customer_36,56,62,"[56, 62]",[422],6.364542174036592,0.11571894861884713,0,0
182,61,1,detour_2,Customer_4,Customer_36,56,62,"[56, 78, 62]","[420, 451]",10.498414289018283,0.1908802598003324,0,0
183,61,2,detour_3,Customer_4,Customer_36,56,62,"[56, 78, 16, 62]","[420, 191, 192]",21.558846148543672,0.3919790208826123,0,0
184,62,0,shortest,Customer_4,Customer_59,56,62,"[56, 62]",[422],6.364542174036592,0.11571894861884713,0,0
185,62,1,detour_2,Customer_4,Customer_59,56,62,"[56, 78, 62]","[420, 451]",10.498414289018283,0.1908802598003324,0,0
186,62,2,detour_3,Customer_4,Customer_59,56,62,"[56, 78, 16, 62]","[420, 191, 192]",21.558846148543672,0.3919790208826123,0,0
187,63,0,shortest,Customer_4,Customer_62,56,62,"[56, 62]",[422],6.364542174036592,0.11571894861884713,0,0
188,63,1,detour_2,Customer_4,Customer_62,56,62,"[56, 78, 62]","[420, 451]",10.498414289018283,0.1908802598003324,0,0
189,63,2,detour_3,Customer_4,Customer_62,56,62,"[56, 78, 16, 62]","[420, 191, 192]",21.558846148543672,0.3919790208826123,0,0
190,64,0,shortest,Customer_4,Customer_28,56,16,"[56, 78, 16]","[420, 191]",12.49563269858005,0.22719332179236454,0,0
191,64,1,detour_2,Customer_4,Customer_28,56,16,"[56, 78, 57, 16]","[420, 435, 185]",12.987276324105371,0.23780874170375094,0,0
192,64,2,detour_3,Customer_4,Customer_28,56,16,"[56, 62, 16]","[422, 193]",15.427755624000216,0.2805046477090949,0,0
193,65,0,shortest,Customer_4,Customer_66,56,16,"[56, 78, 16]","[420, 191]",12.49563269858005,0.22719332179236454,0,0
194,65,1,detour_2,Customer_4,Customer_66,56,16,"[56, 78, 57, 16]","[420, 435, 185]",12.987276324105371,0.23780874170375094,0,0
195,65,2,detour_3,Customer_4,Customer_66,56,16,"[56, 62, 16]","[422, 193]",15.427755624000216,0.2805046477090949,0,0
196,66,0,shortest,Customer_4,Customer_18,56,57,"[56, 78, 57]","[420, 435]",12.741397738502883,0.23166177706368873,0,0
197,66,1,detour_2,Customer_4,Customer_18,56,57,"[56, 78, 16, 57]","[420, 191, 184]",12.741511284182538,0.23334028643242674,0,0
198,66,2,detour_3,Customer_4,Customer_18,56,57,"[56, 62, 57]","[422, 433]",15.673621429235677,0.2849749350770123,0,0
199,67,0,shortest,Customer_4,Customer_1,56,1,"[56, 40, 1]","[367, 19]",11.859593368987007,0.2156289703452183,0,0
200,67,1,detour_2,Customer_4,Customer_1,56,1,"[56, 40, 9, 1]","[367, 117, 17]",14.693707062164355,0.2769808948737986,0,0
201,67,2,detour_3,Customer_4,Customer_1,56,1,"[56, 40, 26, 1]","[367, 269, 13]",16.969581487976434,0.3085378452359352,0,0
202,68,0,shortest,Customer_4,Customer_34,56,66,"[56, 78, 16, 66]","[420, 191, 186]",14.423898487201383,0.2753999665078979,0,0
