task_id,customer_id,customer_index,node_id,time_window_type,has_start_constraint,start_time_h,deadline_h,window_note,ready_time_h,due_time_h,time_window_width_h,service_time_h,demand_class,demand
Task_29,Customer_29,28,20,business_hours,True,8.75,18.25,Service during approximate business hours,8.75,18.25,9.5,0.75,medium,4.375
Task_56,Customer_56,55,68,before_18,False,,19.0,Deadline around late afternoon,0.0,19.0,19.0,0.75,medium,2.573
Task_8,Customer_8,7,13,business_hours,True,7.5,19.0,Service during approximate business hours,7.5,19.0,11.5,0.5,medium,4.333
Task_13,Customer_13,12,61,business_hours,True,8.0,19.0,Service during approximate business hours,8.0,19.0,11.0,0.75,large,7.817
Task_53,Customer_53,52,15,business_hours,True,7.5,19.0,Service during approximate business hours,7.5,19.0,11.5,0.5,medium,2.769
Task_48,Customer_48,47,27,before_20,False,,19.25,Deadline around evening before 20:00,0.0,19.25,19.25,0.5,medium,2.11
Task_2,Customer_2,1,44,before_20,False,,19.5,Deadline around evening before 20:00,0.0,19.5,19.5,0.5,medium,4.395
Task_51,Customer_51,50,64,before_20,False,,19.5,Deadline around evening before 20:00,0.0,19.5,19.5,0.75,small,1.604
Task_54,Customer_54,53,75,before_20,False,,19.5,Deadline around evening before 20:00,0.0,19.5,19.5,0.5,small,1.304
Task_4,Customer_4,3,44,before_20,False,,20.0,Deadline around evening before 20:00,0.0,20.0,20.0,0.5,medium,2.249
Task_26,Customer_26,25,12,before_20,False,,20.0,Deadline around evening before 20:00,0.0,20.0,20.0,0.75,large,5.753
Task_37,Customer_37,36,75,before_20,False,,20.0,Deadline around evening before 20:00,0.0,20.0,20.0,0.75,small,1.664
Task_58,Customer_58,57,73,before_20,False,,20.0,Deadline around evening before 20:00,0.0,20.0,20.0,0.75,small,1.92
Task_23,Customer_23,22,79,before_20,False,,20.25,Deadline around evening before 20:00,0.0,20.25,20.25,0.75,large,7.501
Task_24,Customer_24,23,47,before_20,False,,20.25,Deadline around evening before 20:00,0.0,20.25,20.25,0.5,medium,3.852
Task_10,Customer_10,9,29,before_20,False,,20.5,Deadline around evening before 20:00,0.0,20.5,20.5,0.75,medium,2.955
Task_31,Customer_31,30,40,before_20,False,,20.5,Deadline around evening before 20:00,0.0,20.5,20.5,0.5,medium,3.168
Task_9,Customer_9,8,39,before_20,False,,20.75,Deadline around evening before 20:00,0.0,20.75,20.75,0.75,small,1.776
Task_27,Customer_27,26,44,before_20,False,,20.75,Deadline around evening before 20:00,0.0,20.75,20.75,0.75,large,6.914
Task_28,Customer_28,27,38,before_20,False,,20.75,Deadline around evening before 20:00,0.0,20.75,20.75,0.5,medium,4.186
Task_45,Customer_45,44,68,before_20,False,,20.75,Deadline around evening before 20:00,0.0,20.75,20.75,0.75,small,1.204
Task_1,Customer_1,0,39,before_20,False,,21.0,Deadline around evening before 20:00,0.0,21.0,21.0,0.5,large,5.082
Task_33,Customer_33,32,77,afternoon_or_evening,True,12.75,21.75,Service after noon with evening deadline,12.75,21.75,9.0,0.5,medium,2.203
Task_59,Customer_59,58,13,afternoon_or_evening,True,12.25,22.5,Service after noon with evening deadline,12.25,22.5,10.25,0.5,small,1.182
Task_14,Customer_14,13,6,all_day,False,,22.75,All-day service with relaxed late deadline,0.0,22.75,22.75,0.5,large,6.263
Task_42,Customer_42,41,56,all_day,False,,22.75,All-day service with relaxed late deadline,0.0,22.75,22.75,0.75,medium,3.77
Task_49,Customer_49,48,66,all_day,False,,22.75,All-day service with relaxed late deadline,0.0,22.75,22.75,0.5,medium,3.016
Task_36,Customer_36,35,68,all_day,False,,23.0,All-day service with relaxed late deadline,0.0,23.0,23.0,0.75,large,7.781
Task_60,Customer_60,59,61,all_day,False,,23.0,All-day service with relaxed late deadline,0.0,23.0,23.0,0.75,large,5.554
Task_12,Customer_12,11,67,afternoon_or_evening,True,12.5,23.0,Service after noon with evening deadline,12.5,23.0,10.5,0.5,large,5.593
Task_38,Customer_38,37,78,all_day,False,,23.25,All-day service with relaxed late deadline,0.0,23.25,23.25,0.75,medium,4.425
Task_44,Customer_44,43,46,all_day,False,,23.25,All-day service with relaxed late deadline,0.0,23.25,23.25,0.5,small,1.962
Task_35,Customer_35,34,73,afternoon_or_evening,True,12.0,23.25,Service after noon with evening deadline,12.0,23.25,11.25,0.5,large,5.08
Task_19,Customer_19,18,57,all_day,False,,23.5,All-day service with relaxed late deadline,0.0,23.5,23.5,0.75,medium,3.112
Task_6,Customer_6,5,56,all_day,False,,23.75,All-day service with relaxed late deadline,0.0,23.75,23.75,0.5,medium,4.742
Task_17,Customer_17,16,40,all_day,False,,23.75,All-day service with relaxed late deadline,0.0,23.75,23.75,0.5,medium,3.999
Task_47,Customer_47,46,43,all_day,False,,23.75,All-day service with relaxed late deadline,0.0,23.75,23.75,0.75,small,0.746
Task_50,Customer_50,49,42,all_day,False,,24.0,All-day service with relaxed late deadline,0.0,24.0,24.0,0.75,medium,4.123
